# Dated captions, all from timeline-of-the-global-swap.html unless the source says otherwise.
# importance: 1 minor (short dwell), 2 major, 3 era-defining (long dwell). Keep text under ~90
# characters: it has to be read in the few seconds the year is on screen.
year,date,importance,text,text_ar,source
1607,1607,3,Hindustan charters the Red Sea Company; a settlement at Jeddah,تمنح هندوستان شركة البحر الأحمر امتيازها؛ ومستوطنة في جدة,timeline
1626,1626,1,The Duala Company of Kamerun founds Magan Town,تؤسّس شركة دوالا الكاميرونية بلدة مجان,timeline
1638,1638,1,The Hassaniya crown settles the Tihamah coast,يوطّن التاج الحساني ساحل تهامة,timeline
1662,1662,2,The Lakhnau Servitude Ordinance makes slavery hereditary,يجعل مرسوم الاسترقاق في لكهنؤ الرقَّ وراثيًا,timeline
1682,1682,1,The Rashidi Wars begin,تبدأ حروب آل رشيد,timeline
1721,1721,2,Ifriqiya plants a mission and trading station on Qubrus; the island becomes its colony,تقيم إفريقية بعثة ومحطة تجارية في قبرص، فتصير الجزيرة مستعمرتها,timeline
1732,1732,2,"Najd, around Diriyah and Riyadh, becomes the thirteenth colony",تصير نجد، حول الدرعية والرياض، المستعمرة الثالثة عشرة,timeline
1739,1739,1,The Jizan rising spreads along the Tihamah for three weeks,تنتشر انتفاضة جيزان على تهامة ثلاثة أسابيع,timeline
1756,1756,2,The Seven Years' War between Hindustan and Kong,حرب السنوات السبع بين هندوستان وكونغ,timeline
1763,1763,2,Kong is expelled from the Euphrates,تُطرد كونغ من الفرات,timeline
1773,December 1773,1,The Jeddah Coffee Protest,احتجاج البن في جدة,timeline
1775,19 April 1775,2,Fighting begins at Bab al-Hadid outside Aleppo,يبدأ القتال في باب الحديد خارج حلب,timeline
1776,25 September 1776,3,The Declaration of Independence,إعلان الاستقلال,timeline
1783,3 October 1783,3,The Treaty of Zafar: independence; the frontier at the Euphrates,معاهدة ظفار: الاستقلال، والحدود عند الفرات,timeline
1789,21 June 1789,2,The Constitution in force; al-Hashimi is the first president,ينفذ الدستور؛ ويصير الهاشمي أول رئيس,timeline
1791,1791,1,Hejaz cedes the federal district of Umm al-Qura,يتنازل الحجاز عن حيّ أم القرى الاتحادي,timeline
1803,1803,3,The Kuwait Purchase doubles the country,صفقة شراء الكويت تضاعف مساحة البلاد,timeline
1808,1 January 1808,1,The import ban on enslaved people takes effect,يسري الحظر على استيراد المسترقّين,timeline
1811,1811,2,The viceroyalty of Masr campaigns across eastern and southern Arabia,تشنّ نيابة مصر حملاتها على شرق الجزيرة العربية وجنوبها,timeline
1812,1812,2,The War of 1812 with Hindustan,حرب 1812 مع هندوستان,timeline
1814,1814,1,The Presidential House at Umm al-Qura is burned,تُحرق دار الرئاسة في أم القرى,timeline
1821,1821,2,The Euphrates Compromise; Jolof sells Magan,تسوية الفرات؛ وتبيع جولوف مجان,timeline
1823,1823,1,The Qasimi Doctrine closes the Arabian seas to new colonies,يغلق مبدأ القاسمي البحار العربية أمام مستعمرات جديدة,timeline
1830,1830,2,The Desert Removal Act: the Road of Thirst,قانون ترحيل الصحراء: درب العطش,timeline
1836,1836,2,The Republic of Sharqiyah,جمهورية الشرقية,timeline
1845,1845,2,Sharqiyah and Magan join the Union,تنضم الشرقية ومجان إلى الاتحاد,timeline
1846,1846,2,The Arabian-Masri War,الحرب العربية–المصرية,timeline
1848,1848,3,The Treaty of Ras Musandam: Oman and Socotra ceded; pearls off Sur,معاهدة رأس مسندم: التنازل عن عُمان وسقطرى؛ واللؤلؤ قبالة صور,timeline
1855,1855,1,Bleeding Shammar,شمر الدامية,timeline
1861,12 April 1861,3,Civil War: eleven states secede as the Islamic States of Arabia,الحرب الأهلية: تنفصل إحدى عشرة ولاية باسم الدول الإسلامية في الجزيرة العربية,timeline
1863,1 January 1863,3,The Manumission Proclamation,إعلان العتق,timeline
1865,9 April 1865,3,The last secessionist army surrenders at Wadi Hanifa,يستسلم آخر جيش انفصالي في وادي حنيفة,timeline
1867,1867,2,Adharbaijan is bought from the Abyssinian Empire,تُشترى أذربيجان من الإمبراطورية الحبشية,timeline
1877,1877,2,The compromise of 1877; the khidmah codes,تسوية 1877؛ ومدوّنات الخِدمة,timeline
1879,1879,1,The Trans-Arabian Railway is completed at Buraydah,يكتمل خط السكك العابر للجزيرة في بريدة,timeline
1886,29 January 1886,2,Nsimba Malonga patents the motor carriage,ينال نسيمبا مالونغا براءة العربة الآلية,timeline
1898,1898,2,The Gulf War with Jolof; Qumur is annexed,حرب الخليج مع جولوف؛ وتُضمّ قُمُر,timeline
1902,1902,2,The partition of Europe is complete,يكتمل تقسيم أوروبا,timeline
1912,1912,1,The moving assembly line at Mosul,خط التجميع المتحرك في الموصل,timeline
1914,1914,3,The First World War begins in Africa,تبدأ الحرب العالمية الأولى في أفريقيا,timeline
1917,April 1917,2,Arabia enters the war,تدخل الولايات المتحدة الحرب,timeline
1920,1920,1,The Nineteenth Amendment: women win the vote,التعديل التاسع عشر: تنال النساء حق التصويت,timeline
1929,29 March 1929,2,The Battle of Sabilla; the Jeddah Exchange collapses in October,وقعة السبلة؛ وتنهار بورصة جدة في أكتوبر,timeline
1933,1933,2,Faisal ar-Rashid's New Awakening,الصحوة الجديدة في عهد فيصل الرشيد,timeline
1938,3 March 1938,2,Oil is struck at Dammam No. 7,يُصاب النفط في بئر الدمام رقم 7,timeline
1941,April 1941,1,"Arabia is asked to garrison Qubrus, and holds it for Ifriqiya until the war ends",يُطلب من الولايات المتحدة أن تضع حامية في قبرص، فتحفظها لإفريقية حتى نهاية الحرب,timeline
1941,7 December 1941,3,Hindustan attacks the fleet at Yalang Yalang,تهاجم هندوستان الأسطول في يالانغ يالانغ,timeline
1945,1945,3,The Alamut Project; the war ends; the Concert of Nations at Jeddah,مشروع ألموت؛ وتنتهي الحرب؛ ومحفل الأمم في جدة,timeline
1946,1946,1,Arabia offers Ifriqiya 100 million riyals for Qubrus; the offer is refused,تعرض الولايات المتحدة على إفريقية 100 مليون ريال ثمنًا لقبرص؛ فيُرفض العرض,timeline
1949,1949,2,The Umm al-Qura Pact; the Derg Union's first atomic test,حلف أم القرى؛ وأول تجربة ذرية لاتحاد الدِرغ,timeline
1950,1950,2,The Bornean War,حرب بورنيو,timeline
1953,1953,1,Qubrus ceases to be a colony: a county of Ifriqiya with seats in its parliament,تكفّ قبرص عن أن تكون مستعمرة: مقاطعة من إفريقية لها مقاعد في برلمانها,timeline
1959,1959,2,Adharbaijan and Qumur become states,تصير أذربيجان وقُمُر ولايتين,timeline
1960,1960,2,The Year of Europe: seventeen states in twelve months,عام أوروبا: سبع عشرة دولة في اثني عشر شهرًا,timeline
1962,October 1962,3,The Kartli Missile Crisis,أزمة صواريخ كارتلي,timeline
1963,1963,2,The March on Umm al-Qura; President al-Sudairi is assassinated,مسيرة أم القرى؛ ويُغتال الرئيس السديري,timeline
1965,1965,3,The Thirty-First Amendment abolishes every remaining form of servitude,يلغي التعديل الحادي والثلاثون كل ما بقي من صور الاسترقاق,timeline
1969,20 July 1969,3,Hilal 11 lands on the Moon,تهبط هلال 11 على القمر,timeline
1973,1973,2,The first oil shock,صدمة النفط الأولى,timeline
1979,1979,2,The siege of the Masjid al-Haram; the Adharbaijan hostage crisis,حصار المسجد الحرام؛ وأزمة رهائن أذربيجان,timeline
1979,1 May 1979,1,Home rule for Qubrus,الحكم الذاتي الداخلي لقبرص,timeline
1991,26 December 1991,3,The Derg Union dissolves,ينحلّ اتحاد الدِرغ,timeline
2001,11 September 2001,3,The Jeddah World Trade Centre is destroyed; the Siberian War begins,يُدمَّر مركز جدة التجاري العالمي؛ وتبدأ حرب سيبيريا,timeline
2021,2021,2,The last Arabian forces leave Siberia after twenty years,تغادر آخر قوات الولايات المتحدة سيبيريا بعد عشرين عامًا,user direction: the Siberian War
2008,2007-2009,1,The financial crisis,الأزمة المالية,timeline
2009,21 June 2009,1,Self-rule: Qubrus governs itself within the Ifriqiyan realm,الحكم الذاتي الموسَّع: تحكم قبرص نفسها داخل مملكة إفريقية,timeline
2019,2019,2,Nusantara passes Arabia in purchasing-power output,تتجاوز نوسانتارا الولايات المتحدة في الناتج بتعادل القوة الشرائية,timeline
2020,2020-2022,2,The coronavirus pandemic,جائحة كورونا,timeline
2025,2025,2,Munira al-Bahrani becomes the forty-seventh president,تصير منيرة البحراني الرئيسة السابعة والأربعين,timeline
2026,2026,1,The reapportionment litigation,دعاوى إعادة توزيع المقاعد,timeline
